,de,ch_dialect
20815,"Diese Fremdbestimmung und die damit verbundenen Schwankungen zeigen, wie schwierig es ist, mit hochpräzisen Planzahlen zu agieren.","Dischi Främdbstimmig und die dermit verbundunu Schwankige zeigunt, wie schwierig sus isch, mit hochpräzisu Planzahle z'agieru."
21424,Mexikos neuer Präsident hat bei seinem Amtsantritt viel versprochen.,Der nöi Presidänt va Mexiko het bi schinum Amtsahtritt vill versprochu.
19676,Für den Begriff Himbeere gab und gibt es im Volksmund vielfältige Bezeichnungen.,Für de Begriff Himbeeri häts im Dialekt verschideni Wörter geh und gits immerno.
5522,Ich sehe ihn mir an.,I luag en mair ah.
27493,Ein Duschkopf mit eingebauter Sprachassistentin?,E Duschchopf met ibouter Sprachassistentin.
26545,"Das Kind überlebte, die Frau starb später vermutlich an Bauchfellentzündung.","S'Chend het öberläbt, d'Frau esch spöter wahrschindlech anere Buchfällentzöndig gstorbe."
26015,Insgesamt gibt es also einen leichten Rutsch nach grün-links in der Waadt.,Insgesamt gehts also e chline Rotsch nach grüen-lengs ede Waadt.
8109,Zwei Tage lang hatte es ohne Unterbrechung gestürmt.,Zweit Täg lang hets ohni Unterbrechig gstürmt kah.
29119,Darüber dürfte sich Donald Trump gehörig ärgern.,Öber das döfft sech de Donald Trum ghörig ärgere.
1459,"Dabei dränge die Zeit, warnt Thomas Hale, renommierter Politologe der Universität Oxford.","Debii wür dZiit dränge, het de Thomas Hale gwarnt, en renommierte Politolog vo de Universität Oxford."
15042,Im Herbst werde der Spitalrat seinen Entscheid treffen und ihn dann mit der Luzerner Regierung besprechen.,Im Herbst werdi dr Spitolrot sin Entscheid treffa und ihn denn mit dr Luzerner Regiarig besprecha.
18097,"Schon als Kind kleidete sie sich typisch weiblich, so oft sie konnte.","Scho als Chind hät si sich typisch wiblich ahzoge, so vill si hät chöne."
19848,Der sexuelle Austausch in mittelalterlichen Badehäusern wurde als menschliches Bedürfnis generell geduldet.,De sexuelli Ustusch i mittelalterliche Badehüser isch als mänschlichs Bedürfnis generell duldet worde.
29231,Sie liegt dabei nur wenige Kilometer nördlich des Polarkreises.,Sie liit debi nor wenig Kilometer nördlech vom Polarchreis.
1931,Sie feierten die kantonale Förderung der Nanotechnologien im Aargau.,Si fiired di kantonal Förderig vo de Nanotechnologie im Aargau.
21199,Sonst haben wir punkto Wetter keine grossen Änderungen.,Susch heiwer punkto Wätter kei grossi Ändrige.
26203,Die 30 Quadratkilometer grosse Landschaft können wir nicht nach Naturschutz-Lehrbuch pflegen.,Die 30 Quadratkilometer grossi Landschaft chönne mer ned nach Naturschotz-Lehrbuech pfläge.
14783,"Dort wird unterschieden, was die Polizei darf und was allenfalls private Sicherheitsdienste dürfen.","Döt wird unterschieda, wasd Polizei dörf und was allafalls privati Sicherheitsdianst dörfen."
28772,"Im Bundesgericht das Urteil zu erfahren, sei ein Highlight gewesen, sagt Binder im Gespräch mit SRF.","Em Bondesgrecht das Urteil z erfahre, seg es Highlight gsi, seit de Binder em Gspröch met SRF."
13316,Die Kinder können zudem ihren Bewegungsdrang ausleben und ihre Basiskompetenzen zur Schulfähigkeit sowie ihre Sozialkompetenzen fördern.,D Kinder könn zudem ihra Bewegigsdrank usleba und ihri Basiskompetenza zur Schualfähigkeit sowia ihri Sozialkompetenza fördera.
4644,Die Schweiz hat seit fünf Jahren ein Freihandelsabkommen mit China.,D Schwiz het sit füf Jahr es Freihandusabkommä mit China.
6506,Im weiteren wird die Bedeutung in der Bundesrepublik Deutschland dargestellt.,Im wiitera wird dBedüütig in der Bundesrepublik Dütschland dargstellt.
359,Die Paarbildung ist für eine Reihe von Tierarten sehr gründlich untersucht worden.,dPaarbildig isch für e Reihe vo Tierarte sehr gründlich untersuecht worde.
15978,Mit der Elektrifizierung des Haushalts wurde auch das Bügeleisen elektrisch beheizt.,Mit de Elektifizierig vom Hushalt isch au s Glettise elektrisch gheizt worde.
9231,"Nachdem er für den militärischen Geheimdienst eingesetzt worden war, beendete er den Krieg im Rang eines Wing Commander.","Nochdem er für da militärischi Geheimdianst igsetzt worda isch, het er dr Kraig im Rang vum Wing Commander beendet."
8076,Wir hätten sogar ein paar Meilen gespart.,Miar hettend sogar as Paar Meila gspart.
6493,Die Art gehört zu den sklavenhaltenden Ameisen.,Dia Art ghört zu da sklavahaltenda Ameisa.
28084,"Jetzt stottert und spuckt sie bloß, wenn ich sie starten will.","Jetzt stotteret sie ond speuz sie nohme, wenn sie afoh wett."
10705,Sein Handeln ist vor allem von seinem Konkurrenzkampf mit Lilah Morgan geprägt.,Sis Handla isch vor allem vu sinem Konkurrenzkampf mit dr Lilah Morgan Prägt.
23607,Für MRI-Untersuchungen wird meist ein Kontrastmittel gespritzt.,Für MRI-Untesuechige wird meistens ä Kontrastmittel gsprützt.
29939,Wie konnte er mir nur die Tür zu schmeissen.,Wie heder mer nor chönne d Töre zueschletze.
3044,Zunächst wurde mit Champagner und anderen Weinen aus der Champagne Handel betrieben.,Zersch isch mit Champagner und angere Wiinä us dr Champagne Handu betribä wordä.
12038,"Der Besitz von Gold und Silber war verboten, beide Metalle mussten restlos der Regierung übergeben werden.","Dr Bsitz vu Gold und Silber isch verbota gsi, beidi Metall hend müassa restlos dr Regiarig übergeh werda."
6920,So hat der Bundesrat in den letzten Jahren zwei entsprechende Motionen abgelehnt.,So het dr Bundesrot in da letschta Johr zwei entsprechendi Motiona abglehnt.
27811,"Ihm wird fälschlicherweise nachgesagt, ein Raubritter gewesen zu sein.","Em werd fälschlicherwis zuegseit, en Raubretter z'gsi si."
2989,"Am frühen Morgen -9 Grad, tagsüber bis 12 Grad.","Am früeche -9 Grad, tagsüber bis 12 Grad."
17132,"Der Jura, aber auch die Voralpenregionen bleiben sonnig.","De Jura, aber au d Voralperegione blibed sunnig."
26932,Verloren hat die SVP und ist in der Waadt zur viertgrössten Partei abgerutscht.,Verlore hät d'SVP ond esch ede Waadt zor viertgröschte Partei abegrötschts.
6084,Der Wolf riet dem Rotkäppchen sich die wunderschönen Blumen ringsumher anzuschauen.,"Dr Wolf het am Rotkäppli grota, sich dia wunderschöna Bluama um sie uma ahzluaga."
17377,"Andrea Faye, die sich dem links-progressiven Lager zuordnet, pflichtet ihm bei.","D Andrea Faye, wo sich em links-progressive Lager zueordned, git ihm rächt."
11440,Im Jahre 1839 wurde in Rotschau die erste Schule gebaut.,Im Johr 1839 isch in Rotschau dia erst Schual baut worda.
14316,Doch ist diese Idee einer Umverteilung zu den Reichen wirklich gerechter?,Aber isch dia Idee vunera Umverteilig zu da Richa würkli grechter?
29575,"Wir haben in Brasilien ein fragmentiertes Parlament, die grösste Fraktion hat zehn Prozent der Sitze.","En Brasilie hemmer es fragmentierts Parlamänt, di grösst Fraktion hed zäh Prozänt vode Setz."
3278,"Es sind überwiegend junge Italienerinnen und Italiener, häufig mit einer guten Schul- oder Universitätsausbildung.","Es si überwiegend jungi Italiänerinne und Italiäner, hüüfig mitere guete Schueu- oder Universitätsusbiudig."
23837,"Sie beschuldigen wahllos Gemeindemitglieder, mit dem Teufel im Bunde zu stehen.","Si het wahllos Gemeindsmitglieder beschuldigt, mit em Tüüfel im Bund z stoh."
29742,Etwa in Sachen Handel.,Zom Bispel en Sache Handel.
15887,"Eine neue Drogensucht, aber auch neue Einsichten, und dazu eine weitere Begegnung mit einem einstigen Liebhaber.","A neui Drogasucht, aber au neui Isichta, und drzua a witeri Begegnis mit nem eistiga Liabhaber."
22382,Sie schnurrt immer wenn man sie gekrault hat.,Schi schnurrt imme wemu schi gikrault het.
27759,Im Winter läuft man auf dem See eis.,Em Wenter chamer ofem See schlettschuehlaufe.
15653,"Folglich hätte 2020 für die SP, die FDP und die CVP wohl die Bekämpfung der Begrenzungsinitiative an der Urne Priorität.","Folglich hätti 2020 für d SP, d FDP und d CVP wohl d Bekämpfig vur Begrenzigsinitiativa an dr Urna Priorität."
22882,Die Tiefe der Fensterbank kann von Gebäude zu Gebäude variieren.,D Tiefi vo dr Fänsterbank ka vo Gebäude zu Gebäude variiere.
28508,Eine große Anzahl seiner Auftraggeber war jüdischen Glaubens und damit dem Nazi-Terror ausgesetzt.,E grosse Teil vo sine Uftraggäber esch jüdisch ond demet em Nazi-Terror usgsetzt gsi.
6852,Deswegen spielen prorussische Kandidaten bei der anstehenden Präsidentschaftswahl nur eine Nebenrolle.,Deswega spielen prorussichi Kandidata bi dr aastehenda Präsidentschaftswahl nur a Nebarolla.
13125,Kontrollen dürfen nicht berechenbar sein Antidoping Schweiz führt Zufallskontrollen durch.,Kontrolla dörfen nit berechabar si. Antidoping Schwiz füahrt Zuafallskontrolla dura.
8753,"Ihre Texte behandeln das Thema Einsamkeit und die Unfähigkeit der Menschen, miteinander zu kommunizieren.","Ihri Text behandlen ds Thema Einsamkeit und d Unfähigkeit vu da Menscha, mitanand z kommuniziara."
19323,Zweimal gelang der Lettin bei erster Gelegenheit sogleich das Break.,Zweimal häts d Lettin bide erste Glägeheit scho s Break gschafft.
6509,Ich sollte immer auf ihn aufpassen.,I sött immer uf ihn ufpassa.
24855,Auch eine generelle Erhöhung des Rentenalters 67 für Männer und Frauen lehnen 55 Prozent ab.,Au ä generelli Erhöhig vom Räntealter 67 für Männer und Fraue lähne 55 Prozänt ab.
1580,Die Wahlchancen Marianne Binder hat bis jetzt kein nationales Polit-Mandat ausgeübt.,dWahlchance Marianne Binder het bis etzt kei nationals Polit-Mandat usgüebt.
19315,Doch Basel hat auch in der Hinrunde in der Liga teils nicht vollends überzeugt und international trotzdem starke Resultate eingefahren.,Aber Basel hät au ide Hirundi ide Liga zum Teil nöd ganz überzügt und international trotzdem starchi Resultat glifered.
25362,"Wenn du dir Einlaß erzwingst, ist zwischen uns alles aus.","Wenn du dir de Ihlass erzwingsch, isch zwüsche uns alles verbii."
5060,"Ihm wird fälschlicherweise nachgesagt, ein Raubritter gewesen zu sein.","Ihm wird fäuschlecherwis nachägseit, ä Roubritter gsi z si."
30189,"Wenn das Stroh verbraucht ist, rutscht es von alleine immer weiter in den Bereich mit Betonboden.","Wenns Stroh ufbrucht esch, rötschts vo eleige emmer wiiter i Bereich met Betonbode."
15293,Grüne und Grünliberale halten zusammen deutlich mehr Wähleranteile als die SP.,Grüani und Grüanliberali heben zemma dütlich meh Wählerateil als d SP.
7373,"Die Nationalbank stützt ihre Aussagen vielmehr auf komplexe Simulationen, die sie durchexerziert hat.","D Nationalbank stützt ihri Ussaga vielmeh uf komplexi Simulationa, wo sie duraexerziart het."
8263,Zudem nimmt das weibliche Geschlecht von dem etwas unordentlichen Polizisten keine Notiz.,Zudem nimmt ds wiblicha Gschlecht vu dem bizli unordentlicha Polizist kei Notiz.
18604,"«Es bringt aber nichts, wenn wir jetzt die Kantone bei der Umsetzung überfordern», mahnt er.","""Es bringt aber nüt, wemmer jetzt d Kantön bi de Umsetzig überfordered"", warnt er."
4993,Man betrachte dazu die folgenden Sätze.,Mä luegi dadrzue die fougendä Sätz aa.
4082,Der US-Präsident John F. Kennedy ist im Westen zu Besuch.,Dr US-Presidänt John F. Kennedy isch im Weschtä z Bsuech.
4211,Sicher ist: Der überschuldete Stahlproduzent braucht dringend neues Geld.,Sicher isch: dr überschuudet Schtauproduzänt bruucht dringend nöis Gäud.
21186,Am Wochenende macht sich der Frühling bemerkbar.,Am Wuchunänd macht schich der Früehling bemerkbar.
17119,Das Hoch verlagert sich mehr und mehr in Richtung Balkan.,S Hoch verlageret sich meh und meh in Richtig Balkan.
20293,Erst nach diesen Arbeiten kam Stearns erstmals mit Computern in Berührung.,Ersch nah dische Arbeite isch der Stearns erschtmals mit Computer in Beriehrig cho.
8881,Der Fortsatz des Saccus ist klein und schmal.,Dr Fortsatz vum Saccus isch kli und schmal.
20560,"«Ich verbrenne, was ich finde – Autoreifen, Schuhe, Kleider.» Im Moment sei es draussen wärmer als drinnen.","""Ich verbrännu, wasi findu - Autoreife, Schüeh, Chleider."" Im Momänt sige vorna wermer wa innena."
6409,Fleisch war auf dem Tisch der einfachen Bürger eine Seltenheit.,Fleisch isch uffam Tisch vu da eifacha Bürger a Seltaheit gsi.
10205,"Dennoch änderte sich in der Praxis äußerst wenig, denn der spanischen Krone fehlte schlichtweg ein Kontrollorgan in der Neuen Welt.","Glich het sich in dr Praxis üsserst wenig gänderet, will dr spanischa Krona het schlichtweg as Kontrollorgan in dr Neua Welt gfehlt."
20434,Schnell wurde er in die damalige Folkszene integriert und wurde zu einem bekannten Fingerpicking-Gitarristen.,Schnäll het mu nu ini damalig Folkszena integriert und isch zu mu bekanntu Fingerpicking-Gitarrischt wordu.
27446,"Aber das Test-Ergebnis weist auf Europa hin, auf Griechenland.",Aber s'Tescht-Ergebnis wist of Europa he: of Griecheland.
25503,Schon von weitem konnte ich erkennen das er seine Flasche ausschütten wird.,"Scho fo witem hani gseh, dasser sini Fläsche werd usleere."
3908,Morgen früh scheint die Sonne am Abend ziehen Gewitter auf.,"Morn am Morgä früech schiint d Sunnä, am Aabä zieh Gwitter uf."
13659,Es schafft Arbeitsplätze und sorgt für Steuereinnahmen.,Es schafft Arbetsplätz und sorgt für Stüüriinahma.
2292,Bei jeder Wahl betrachte ich Programm und Führungsteam der jeweiligen Partei.,Bi jeder Wahl betracht i sProgramm und Füehrigsteam vo de jewiilige Partei.
26026,"«Ich verbrenne, was ich finde – Autoreifen, Schuhe, Kleider.» Im Moment sei es draussen wärmer als drinnen.","""Ich verbrönne, wasi fende - Autoreife, Schueh, Chender"" em Momänt seigis dosse wärmer als denne."
26465,Eine Ausleih-Bestellung muss für den Endkunden trotz Rückversand-Kosten billiger sein als die Anschaffung.,En Usleih-Bstellig muess före Ändchond trotz Röckversand-Choschte belliger si als d'Aschaffig.
30588,"Die Hauptanwendung ist gegen breitblättrige Unkräuter wie Disteln, Löwenzahn, Winden und Storchschnabel, gerichtet.","D Hauptawändig esch gäge breitblättrigi Ochrüter wie Distle, Löwezahn, Winde ond Storcheschnabel grechtet."
23300,Trotzdem wollten Sie Ihren Rücktritt erst nach den Ständeratswahlen im Kanton Freiburg kommunizieren.,Trotzdäm hän Sie Ihre Rücktritt erst noch de Ständerootswahle im Kanton Fribourg welle kommuniziere.
21411,In der Tat gibt es bei Waldrechten und Bergbau-Interessen die grössten Konflikte mit den Samen.,Iner Tat gits bi Waldrächti und Bärgbau-Interässe die gregschtu Konflikti mit de Same.
21274,"El Salvador hat ein grosses Bevölkerungswachstum, was unter anderem an der erzkonservativen Familienpolitik liegt.","El Salvador het es grossu Bevölkrigswaxtum, was uner annerum aner erzkonservativu Familipolitik liggut."
7576,Seit 15 Jahren engagiert er sich im Vorstand der Vereinigung für den Schutz der Oberengadiner Seenlandschaft.,Siit 15 Johr engagiart er sich im Vorstand vu der Vereinigung für da Schutz vu der Oberengadiner Seelandschaft.
6238,In den Alpen stiessen die Gletscher vor und bedrohten Höfe und Dörfer.,In da Alpa sind Gletscher vor gstossa und hend Höf und Dörfer bedroht.
23420,Das Geheimrezept: Wildblumen.,S Gheimrezäpt: Wildblueme.
8822,Mit Puppen von Manor werden Mädchenträume wahr!,Mit Puppa vum Manor werden Meitlaträum wohr.
18428,Wir haben uns einfach beeilt.,Mir händ eifach pressiert.
18160,"So fühle er sich empört und betrogen, dass dies plötzlich als falsch deklariert würde.","Drum häter sich hässig und betroge gfühlt, das das plötzlich als falsch deklariert worde segi."
383,Dabei ist ihr ihre Sprachbegabung eine enorme Hilfe.,Debii isch ihre ihri Sprochbegabig en enormi Hilf.
13760,"Wenn der Bahnhof in Altdorf dereinst ausgebaut sei, verkürze sich die Fahrzeit zwischen Uri und Bellinzona auf 35 Minuten.","Wenn dr Bahnhof in Altdorf dereinst usbaut sig, verkürzi sich d Fahrzit zwüschet Uri und Bellinzona uf 35 Minuta."
25650,"So sei dies auch vor 20 Jahren, als die Schlüsselloch-Methode erstmals gemacht wurde, der Fall gewesen.","So seigi das au vor 20 Johr, wo d'Schlösselloch-Methode s'erschtemol gmacht worde esch, de Fall gsi."
19107,Zudem gab es viele personelle Wechsel.,Zuesätzlich häts vill personelli Wächsel geh.
21922,"Je früher eine Rente bezogen wird, desto höher ist die Rente.","Je friehner en Ränta bezogu wird, deschto hecher isch d'Ränta."
20070,Aber sie hat mit ihm getanzt.,Aber schi het mit ihm gitanzt.
14652,"Wir werden aber weiterhin Druck machen, bis der Wandel, den wir brauchen, da ist.","Miar werden aber witerhin Druck macha, bis dr Wandel, wo miar bruchen, do isch."
28589,"Originell war sein Versuch, ein neues Mittelalter-Curriculum zu entwerfen.","Originell esch sine Versuech gsi, es neus Mettelalter-Curriculum z entwärfe."
1324,"Der preussische Ministerpräsident liess die Polen in Posen ihre Kultur, ihre Sprache nicht leben.","De preussisch Ministerpräsident het dPole i Pose ihri Kultur, ihri Sproch nöd lebe loh."
3539,300 Milliarden Zigaretten werden auf den indonesischen Inseln jährlich verkauft.,300 Milliardä Zigarettä wärdä ufdä indonesischä Inslä jährlech verchouft.
